surface,reading,reading_seion,reading_search,count_hira
小倉餡,おぐらあん,おくらあん,あん,5
斤,きん,きん,きん,2
荒性,あれしょー,あれしょー,ょー,5
せん毛,せんもー,せんもー,もー,4
締め切り,しめきり,しめきり,きり,4
縁組み,えんぐみ,えんくみ,くみ,4
名答,めいとー,めいとー,とー,4
縫紋,ぬいもん,ぬいもん,もん,4
君子,くんし,くんし,んし,3
盛菓子,もりがし,もりかし,かし,4
榕樹,よーじゅ,よーしゅ,しゅ,4
家事,かじ,かし,かし,2
コニイビイヤ,こにいびいや,こにいひいや,いや,6
ホーム,ほーむ,ほーむ,ーむ,3
鉄敷,かなしき,かなしき,しき,4
感じ,かんじ,かんし,んし,3
寄場,よせば,よせは,せは,3
雑穀,ざっこく,さっこく,こく,4
紡錘形,ぼーすいけい,ほーすいけい,けい,6
寮歌,りょーか,りょーか,ーか,4
練り物,ねりもの,ねりもの,もの,4
けいけん,けいけん,けいけん,けん,4
来由,らいゆ,らいゆ,いゆ,3
クルミ,くるみ,くるみ,るみ,3
たちくらみ,たちくらみ,たちくらみ,らみ,5
付け元気,つけげんき,つけけんき,んき,5
低額,ていがく,ていかく,かく,4
メヌエット,めぬえっと,めぬえっと,っと,5
ばく然,ばくぜん,はくぜん,ぜん,4
貽貝,いがい,いかい,かい,3
風評,ふーひょー,ふーひょー,ょー,5
オングストローム,おんぐすとろーむ,おんくすとろーむ,ーむ,8
尻上がり,しりあがり,しりあかり,かり,5
已然,いぜん,いぜん,ぜん,3
寸刻,すんこく,すんこく,こく,4
オペランド,おぺらんど,おへらんと,んと,5
行き掛け,ゆきがけ,ゆきかけ,かけ,4
行き掛け,いきがけ,いきかけ,かけ,4
技術,ぎじゅつ,きしゅつ,ゅつ,4
絶対温度,ぜったいおんど,ぜったいおんと,んと,7
郵税,ゆーぜい,ゆーぜい,ぜい,4
インタープリタ,いんたーぷりた,いんたーふりた,りた,7
休閑地,きゅーかんち,きゅーかんち,んち,6
景況,けいきょー,けいきょー,ょー,5
コンパクト,こんぱくと,こんはくと,くと,5
両頭,りょーとー,りょーとー,とー,5
