surface,reading,reading_seion,reading_search,count_hira
長濱,ながはま,なかはま,はま,4
譚元元,たんやんやん,たんやんやん,やん,6
角田,つのだ,つのた,のた,3
角田,かくだ,かくた,くた,3
早矢加,さやか,さやか,やか,3
麻川,あさかわ,あさかわ,かわ,4
館田,たてだ,たてた,てた,3
俊則,としのり,としのり,のり,4
水内,みずうち,みすうち,うち,4
水内,みのち,みのち,のち,3
ふみえ,ふみえ,ふみえ,みえ,3
早津,はやつ,はやつ,やつ,3
悪魔,あくま,あくま,くま,3
幾三郎,いくさぶろー,いくさふろー,ろー,6
かほ子,かほこ,かほこ,ほこ,3
安達,あだち,あたち,たち,3
彰洋,あきひろ,あきひろ,ひろ,4
鷲津,わしず,わしす,しす,3
柳作,りゅーさく,りゅーさく,さく,5
健一,けんいち,けんいち,いち,4
五三,いつみ,いつみ,つみ,3
平鹿,ひらか,ひらか,らか,3
河竹,かわたけ,かわたけ,たけ,4
久光,ひさみつ,ひさみつ,みつ,4
心,しん,しん,しん,2
心,こころ,こころ,ころ,3
金益賢,きんえいちゅー,きんえいちゅー,ゅー,7
内野,うちの,うちの,ちの,3
北大路魯山人,きたおーじろさんじん,きたおーしろさんしん,しん,10
意次,おきつぐ,おきつく,つく,4
延次郎,のぶじろー,のふしろー,ろー,5
胡照義,うしょーぎ,うしょーき,ーき,5
仲,なか,なか,なか,2
吉治,よしじ,よしし,しし,3
吉治,よしはる,よしはる,はる,4
吉治,きちはる,きちはる,はる,4
愛来,あき,あき,あき,2
由次,よしつぐ,よしつく,つく,4
由次,よしじ,よしし,しし,3
博海,ひろうみ,ひろうみ,うみ,4
ヤチ子,やちこ,やちこ,ちこ,3
ベーカー,べーかー,へーかー,かー,4
守生,もりお,もりお,りお,3
天沼,あまぬま,あまぬま,ぬま,4
昭仁,あきひと,あきひと,ひと,4
ケラー,けらー,けらー,らー,3
室岡,むろおか,むろおか,おか,4
笑雪,えみゆき,えみゆき,ゆき,4
呉国飛,ごこくひ,ここくひ,くひ,4
漸,すすむ,すすむ,すむ,3
佐紀江,さきえ,さきえ,きえ,3
日原無限,ひのはらむげん,ひのはらむけん,けん,7
ミトラ,みとら,みとら,とら,3
七之助,しちのすけ,しちのすけ,すけ,5
小和田,こわだ,こわた,わた,3
小和田,おわだ,おわた,わた,3
立造,りつぞー,りつそー,そー,4
真喜子,まきこ,まきこ,きこ,3
橙里,とーり,とーり,ーり,3
祇園女御,ぎおんのにょーご,きおんのにょーこ,ーこ,8
宏則,ひろのり,ひろのり,のり,4
立雄,りつお,りつお,つお,3
ト部,うらべ,うらへ,らへ,3
奈利子,なりこ,なりこ,りこ,3
呉楼,ごろー,ころー,ろー,3
穴部,あなべ,あなへ,なへ,3
治平,じへい,しへい,へい,3
川手,かわて,かわて,わて,3
川手,かわで,かわて,わて,3
いとう,いとー,いとー,とー,3
哲彌,てつや,てつや,つや,3
優香里,ゆかり,ゆかり,かり,3
関萍雨,せきひょーう,せきひょーう,ーう,6
坪内,つぼうち,つほうち,うち,4
秀機,ひでき,ひてき,てき,3
よしひろ,よしひろ,よしひろ,ひろ,4
末雄,まつお,まつお,つお,3
末雄,すえお,すえお,えお,3
ハビャリマナ,はびゃりまな,はひゃりまな,まな,6
高萩,たかはぎ,たかはき,はき,4
正径,まさつね,まさつね,つね,4
野宮,のみや,のみや,みや,3
初乃,はつの,はつの,つの,3
ドスタム,どすたむ,とすたむ,たむ,4
倉石,くらいし,くらいし,いし,4
武義,たけよし,たけよし,よし,4
苫前,とままえ,とままえ,まえ,4
勝澄,かつずみ,かつすみ,すみ,4
敬止,けいし,けいし,いし,3
楢重,ならしげ,ならしけ,しけ,4
きち,きち,きち,きち,2
真季子,まきこ,まきこ,きこ,3
泰真,たいしん,たいしん,しん,4
禄郎,ろくろー,ろくろー,ろー,4
ハル,はる,はる,はる,2
章宏,あきひろ,あきひろ,ひろ,4
雄一,ゆーいち,ゆーいち,いち,4
小椋,おぐら,おくら,くら,3
嵐,あらし,あらし,らし,3
南本,みなみもと,みなみもと,もと,5
シロー,しろー,しろー,ろー,3
舘脇,たてわき,たてわき,わき,4
八十八,やそはち,やそはち,はち,4
昭武,あきたけ,あきたけ,たけ,4
俊彦,としひこ,としひこ,ひこ,4
辻脇,つじわき,つしわき,わき,4
悦郎,えつろー,えつろー,ろー,4
悦郎,えつお,えつお,つお,3
早船,はやふね,はやふね,ふね,4
胡田敢,うたかん,うたかん,かん,4
むら子,むらこ,むらこ,らこ,3
飛鳥部常則,あすかべのつねのり,あすかへのつねのり,のり,9
総司,そーし,そーし,ーし,3
邦郎,くにお,くにお,にお,3
師竹,しちく,しちく,ちく,3
王進忠,おーしんちゅー,おーしんちゅー,ゅー,7
黄水浩,おーすいこー,おーすいこー,こー,6
洋光,ひろみつ,ひろみつ,みつ,4
昭八郎,しょーはちろー,しょーはちろー,ろー,7
福浜,ふくはま,ふくはま,はま,4
克人,かつと,かつと,つと,3
克人,かつひと,かつひと,ひと,4
平吹,ひらぶき,ひらふき,ふき,4
美佐枝,みさえ,みさえ,さえ,3
犬井,いぬい,いぬい,ぬい,3
トミヨ,とみよ,とみよ,みよ,3
高頭,たかとー,たかとー,とー,4
均美,ひとみ,ひとみ,とみ,3
寅三郎,とらさぶろー,とらさふろー,ろー,6
治樹,はるき,はるき,るき,3
北田,きただ,きたた,たた,3
教子,のりこ,のりこ,りこ,3
教子,きょーこ,きょーこ,ーこ,4
直円,なおのぶ,なおのふ,のふ,4
専精,せんじょー,せんしょー,ょー,5
久江,ひさえ,ひさえ,さえ,3
船場,ふなば,ふなは,なは,3
乙骨淑子,おつこつよしこ,おつこつよしこ,しこ,7
巻口,まきぐち,まきくち,くち,4
友之助,とものすけ,とものすけ,すけ,5
ちどり,ちどり,ちとり,とり,3
源次郎,げんじろー,けんしろー,ろー,5
森奈,もりな,もりな,りな,3
正雄,まさお,まさお,さお,3
孝志,たかし,たかし,かし,3
升沢,ますざわ,ますさわ,さわ,4
修也,しゅーや,しゅーや,ーや,4
秋吉,あきよし,あきよし,よし,4
俊成,としなり,としなり,なり,4
聖人,せいじん,せいしん,しん,4
聖人,まさと,まさと,さと,3
あゆみ,あゆみ,あゆみ,ゆみ,3
祐政,すけまさ,すけまさ,まさ,4
勇孝,ゆーこー,ゆーこー,こー,4
黙斎,もくさい,もくさい,さい,4
鴈成,がんせい,かんせい,せい,4
ちや,ちや,ちや,ちや,2
好道,よしみち,よしみち,みち,4
りえ,りえ,りえ,りえ,2
山田林,やまだはやし,やまたはやし,やし,6
藁谷,わらがい,わらかい,かい,4
秋帆,しゅーはん,しゅーはん,はん,5
盛子,もりこ,もりこ,りこ,3
観樹,みき,みき,みき,2
ぬい,ぬい,ぬい,ぬい,2
佐土原,さどわら,さとわら,わら,4
山野目,やまのめ,やまのめ,のめ,4
堀田,ほった,ほった,った,3
堀田,ほりた,ほりた,りた,3
堀田,ほつた,ほつた,つた,3
河目,かわめ,かわめ,わめ,3
荏子田,えこだ,えこた,こた,3
兼明,かねあきら,かねあきら,きら,5
清秀,きよひで,きよひて,ひて,4
観修,かんしゅー,かんしゅー,ゅー,5
ユニ,ゆに,ゆに,ゆに,2
枴童,かいどー,かいとー,とー,4
増田竜雨,ますだりゅーう,ますたりゅーう,ーう,7
虎造,とらぞー,とらそー,そー,4
市乃菊,いちのぎく,いちのきく,きく,5
ラビロワ,らびろわ,らひろわ,ろわ,4
稲見,いなみ,いなみ,なみ,3
登勢,とせ,とせ,とせ,2
銀之丞,ぎんのじょー,きんのしょー,ょー,6
土師,はじ,はし,はし,2
池口,いけぐち,いけくち,くち,4
芳彦,よしひこ,よしひこ,ひこ,4
佳伸,よしのぶ,よしのふ,のふ,4
知紀,とものり,とものり,のり,4
尚武,なおたけ,なおたけ,たけ,4
栄西,よーさい,よーさい,さい,4
栄西,えいさい,えいさい,さい,4
王占鵬,おーせんほー,おーせんほー,ほー,6
幸宏,ゆきひろ,ゆきひろ,ひろ,4
桜村,さくらむら,さくらむら,むら,5
八鹿,よーか,よーか,ーか,3
延子,のぶこ,のふこ,ふこ,3
襄,じょー,しょー,ょー,3
襄,のぼる,のほる,ほる,3
清二,せいじ,せいし,いし,3
清二,きよじ,きよし,よし,3
アベマリア,あべまりあ,あへまりあ,りあ,5
良輝,よしてる,よしてる,てる,4
えりか,えりか,えりか,りか,3
呉泰錫,おてそく,おてそく,そく,4
由一,よしかず,よしかす,かす,4
由一,ゆいち,ゆいち,いち,3
莉絵,りえ,りえ,りえ,2
高尾,たかお,たかお,かお,3
政紀,まさのり,まさのり,のり,4
保行,やすゆき,やすゆき,ゆき,4
春日局,かすがのつぼね,かすかのつほね,ほね,7
康徳,やすのり,やすのり,のり,4
保信,やすのぶ,やすのふ,のふ,4
松尾伴内,まつおばんない,まつおはんない,ない,7
麦沢,むぎさわ,むきさわ,さわ,4
名奈,なな,なな,なな,2
外喜代,ときよ,ときよ,きよ,3
杏里沙,ありさ,ありさ,りさ,3
土筆,つくし,つくし,くし,3
憲吾,けんご,けんこ,んこ,3
高岳,たかだけ,たかたけ,たけ,4
高岳,たかおか,たかおか,おか,4
義八,ぎはち,きはち,はち,3
憲正,のりまさ,のりまさ,まさ,4
芳司,ほーじ,ほーし,ーし,3
久宝寺,きゅーほーじ,きゅーほーし,ーし,6
三又,みつまた,みつまた,また,4
中埜,なかの,なかの,かの,3
乃里子,のりこ,のりこ,りこ,3
芳邦,よしくに,よしくに,くに,4
嘉藤,かとー,かとー,とー,3
アガシ,あがし,あかし,かし,3
水府,すいふ,すいふ,いふ,3
重隆,しげたか,しけたか,たか,4
艶香,つやか,つやか,やか,3
牧絵,まきえ,まきえ,きえ,3
王菲,うぉんふぇい,うぉんふぇい,ぇい,6
黒河内,くろこーち,くろこーち,ーち,5
洪昌基,こーしょーき,こーしょーき,ーき,6
盛長,もりなが,もりなか,なか,4
正名,まさな,まさな,さな,3
政勝,まさかつ,まさかつ,かつ,4
美雪,みゆき,みゆき,ゆき,3
義実,よしみ,よしみ,しみ,3
義実,よしざね,よしさね,さね,4
守分,もりわけ,もりわけ,わけ,4
筑田,つきた,つきた,きた,3
筑田,つくだ,つくた,くた,3
筑田,ちくだ,ちくた,くた,3
正木不如丘,まさきふじょきゅー,まさきふしょきゅー,ゅー,9
足摺,あしずり,あしすり,すり,4
哲史,てつじ,てつし,つし,3
哲史,てつし,てつし,つし,3
哲史,さとし,さとし,とし,3
哲史,てつふみ,てつふみ,ふみ,4
ロステンコウスキ,ろすてんこうすき,ろすてんこうすき,すき,8
吉松,きちまつ,きちまつ,まつ,4
石破,いしば,いしは,しは,3
等顔,とーがん,とーかん,かん,4
鬼無里,きなさ,きなさ,なさ,3
旭南,きょくなん,きょくなん,なん,5
重彦,しげひこ,しけひこ,ひこ,4
輝久,てるひさ,てるひさ,ひさ,4
詮勝,あきかつ,あきかつ,かつ,4
簑沢,みのさわ,みのさわ,さわ,4
東常縁,とーのじょーえん,とーのしょーえん,えん,8
東常縁,とーのつねより,とーのつねより,より,7
高月,たかつき,たかつき,つき,4
亀輔,かめすけ,かめすけ,すけ,4
立花,たちばな,たちはな,はな,4
國彦,くにひこ,くにひこ,ひこ,4
千家,せんげ,せんけ,んけ,3
基国,もとくに,もとくに,くに,4
市子,いちこ,いちこ,ちこ,3
荒生田,あろうだ,あろうた,うた,4
巨泉,きょせん,きょせん,せん,4
佐記子,さきこ,さきこ,きこ,3
千草,せんぐさ,せんくさ,くさ,4
武四郎,たけしろー,たけしろー,ろー,5
伸,しん,しん,しん,2
伸,のぶ,のふ,のふ,2
伸,のぼる,のほる,ほる,3
千穂,ちほ,ちほ,ちほ,2
紀夫,のりお,のりお,りお,3
ベンソン,べんそん,へんそん,そん,4
登世子,とせこ,とせこ,せこ,3
登世子,とよこ,とよこ,よこ,3
枝本,えだもと,えたもと,もと,4
千年,ちとし,ちとし,とし,3
芝寿弥,しずや,しすや,すや,3
龍子,りゅーこ,りゅーこ,ーこ,4
針間矢,はりまや,はりまや,まや,4
俊枝,としえ,としえ,しえ,3
咲,さき,さき,さき,2
勝英,かつひで,かつひて,ひて,4
富志子,としこ,としこ,しこ,3
小寺,こでら,こてら,てら,3
小寺,こてら,こてら,てら,3
柿本人麿,かきのもとのひとまろ,かきのもとのひとまろ,まろ,10
麻里香,まりか,まりか,りか,3
月原,つきはら,つきはら,はら,4
河芸,かわげ,かわけ,わけ,3
輝太郎,てるたろー,てるたろー,ろー,5
蔵並,くらなみ,くらなみ,なみ,4
和年,かずとし,かすとし,とし,4
作楽,さくら,さくら,くら,3
徳一,とくいち,とくいち,いち,4
但木,ただき,たたき,たき,3
三倉,みくら,みくら,くら,3
ヘレン笹野,へれんささの,へれんささの,さの,6
入倉,いりくら,いりくら,くら,4
末三,すえぞー,すえそー,そー,4
崋山,かざん,かさん,さん,3
柏木,かしわぎ,かしわき,わき,4
皆野,みなの,みなの,なの,3
チー,ちー,ちー,ちー,2
仲丸,なかまる,なかまる,まる,4
三重吉,みえきち,みえきち,きち,4
ヤヱ,やえ,やえ,やえ,2
市塙,いちはな,いちはな,はな,4
正武,まさたけ,まさたけ,たけ,4
光善,みつよし,みつよし,よし,4
見世,みせ,みせ,みせ,2
名高,なだか,なたか,たか,3
猶吉,ゆーきち,ゆーきち,きち,4
宏枝,ひろえ,ひろえ,ろえ,3
一子,かずこ,かすこ,すこ,3
一子,いちこ,いちこ,ちこ,3
烈,れつ,れつ,れつ,2
満亮,みつすけ,みつすけ,すけ,4
團十郎,だんじゅーろー,たんしゅーろー,ろー,7
ホセ,ほせ,ほせ,ほせ,2
長冨,ながとみ,なかとみ,とみ,4
為景,ためかげ,ためかけ,かけ,4
智司,さとし,さとし,とし,3
武男,たけお,たけお,けお,3
呉明恭,ごめいきょー,こめいきょー,ょー,6
杜生,もりお,もりお,りお,3
江梨,えり,えり,えり,2
南海子,みなこ,みなこ,なこ,3
南海子,なみこ,なみこ,みこ,3
芸陽,げいよー,けいよー,よー,4
昌璋,まさあき,まさあき,あき,4
萬田,まんだ,まんた,んた,3
知朗,ともあき,ともあき,あき,4
実枝子,みえこ,みえこ,えこ,3
楽山,らくざん,らくさん,さん,4
レビー,れびー,れひー,ひー,3
ときの,ときの,ときの,きの,3
馬勝,ばしょー,はしょー,ょー,4
ちゑこ,ちえこ,ちえこ,えこ,3
摩子,まこ,まこ,まこ,2
知幸,ともゆき,ともゆき,ゆき,4
児雷也,じらいや,しらいや,いや,4
勝呂,かつろ,かつろ,つろ,3
亀太郎,かめたろー,かめたろー,ろー,5
玉之助,たまのすけ,たまのすけ,すけ,5
鬼束,おにつか,おにつか,つか,4
初夫,はつお,はつお,つお,3
捷三,しょーぞー,しょーそー,そー,5
正司,せいじ,せいし,いし,3
三秋,さんしゅー,さんしゅー,ゅー,5
曲淵,まがりぶち,まかりふち,ふち,5
尾西,びさい,ひさい,さい,3
紗綾,さや,さや,さや,2
美知太郎,みちたろー,みちたろー,ろー,5
祖谷,そたに,そたに,たに,3
祖谷,そや,そや,そや,2
祖谷,いや,いや,いや,2
大蔵,たいぞー,たいそー,そー,4
俊隆,としたか,としたか,たか,4
ひろし,ひろし,ひろし,ろし,3
ももこ,ももこ,ももこ,もこ,3
耕花,こーか,こーか,ーか,3
畠野,はたの,はたの,たの,3
三郎,さぶろー,さふろー,ろー,4
三郎,さんろー,さんろー,ろー,4
安武,やすたけ,やすたけ,たけ,4
白州,はくしゅー,はくしゅー,ゅー,5
高島,たかしま,たかしま,しま,4
アレックス,あれっくす,あれっくす,くす,5
小石澤,こいしざわ,こいしさわ,さわ,5
憲史,けんじ,けんし,んし,3
内館,うちだて,うちたて,たて,4
丑吉,うしきち,うしきち,きち,4
和範,かずのり,かすのり,のり,4
作並,さくなみ,さくなみ,なみ,4
清矩,きよのり,きよのり,のり,4
不二雄,ふじお,ふしお,しお,3
渡,わたる,わたる,たる,3
三木,みき,みき,みき,2
菱谷,ひしや,ひしや,しや,3
波田,なみた,なみた,みた,3
波田,はた,はた,はた,2
ユーリー,ゆーりー,ゆーりー,りー,4
三佐男,みさお,みさお,さお,3
敏邦,としくに,としくに,くに,4
羯南,かつなん,かつなん,なん,4
兼良,かねら,かねら,ねら,3
兼良,かねよし,かねよし,よし,4
順一郎,じゅんいちろー,しゅんいちろー,ろー,7
徳,いさお,いさお,さお,3
徳,とく,とく,とく,2
姫宮,ひめみや,ひめみや,みや,4
王城,おーじょー,おーしょー,ょー,5
