surface,reading,reading_seion,reading_search,count_hira
札幌西高等学校,さっぽろにしこーとーがっこー,さっほろにしこーとーかっこー,こー,14
ママーストアー,ままーすとあー,ままーすとあー,あー,7
名古屋三越,なごやみつこし,なこやみつこし,こし,7
キシイ,きしい,きしい,しい,3
池坊学園短大,いけのぼーがくえんたんだい,いけのほーかくえんたんたい,たい,13
筑紫女学園短大,ちくしじょがくえんたんだい,ちくししょかくえんたんたい,たい,13
福井総合病院,ふくいそーごーびょーいん,ふくいそーこーひょーいん,いん,12
真電,しんでん,しんてん,てん,4
ＮＢＫ,えぬびーけい,えぬひーけい,けい,6
太田物産,おーたぶっさん,おーたふっさん,さん,7
池脇会計事務所,いけはたかいけいじむしょ,いけはたかいけいしむしょ,しょ,12
三陽工業,さんよーこーぎょー,さんよーこーきょー,ょー,9
スター精密,すたーせいみつ,すたーせいみつ,みつ,7
曽田香料,そだこーりょー,そたこーりょー,ょー,7
高田北城高等学校,たかだきたしろこーとーがっこー,たかたきたしろこーとーかっこー,こー,15
白十字病院,はくじゅーじびょーいん,はくしゅーしひょーいん,いん,11
日本サウンドスケープ協会,にほんさうんどすけーぷきょーかい,にほんさうんとすけーふきょーかい,かい,16
アイエス精機,あいえすせいき,あいえすせいき,いき,7
三菱重工業,みつびしじゅーこーぎょー,みつひししゅーこーきょー,ょー,12
鴻池組,こーのいけぐみ,こーのいけくみ,くみ,7
サノヤス・ヒシノ明昌,さのやすひしのめいしょー,さのやすひしのめいしょー,ょー,12
シジシージャパン,しじしーじゃぱん,しししーしゃはん,はん,8
宇部工業高等専門学校,うべこーぎょーこーとーせんもんがっこー,うへこーきょーこーとーせんもんかっこー,こー,19
シンクロン,しんくろん,しんくろん,ろん,5
尚絅学園,しょーけいがくえん,しょーけいかくえん,えん,9
アピアシティ,あぴあしてぃ,あひあしてぃ,てぃ,6
八代高専,やつしろこーせん,やつしろこーせん,せん,8
松本引越センター,まつもとひっこしせんたー,まつもとひっこしせんたー,たー,12
山三ふじや,やまさんふじゃ,やまさんふしゃ,しゃ,7
トピー工業,とぴーこーぎょー,とひーこーきょー,ょー,8
タムロン,たむろん,たむろん,ろん,4
職業能力開発大学校,しょくぎょーのーりょくかいはつだいがくこー,しょくきょーのーりょくかいはつたいかくこー,こー,21
宮城労働金庫,みやぎろーどーきんこ,みやきろーとーきんこ,んこ,10
浜松労災病院,はままつろーさいびょーいん,はままつろーさいひょーいん,いん,13
光明理化学工業,こーみょーりかがくこーぎょー,こーみょーりかかくこーきょー,ょー,14
松戸信用金庫,まつどしんよーきんこ,まつとしんよーきんこ,んこ,10
セゾングループ,せぞんぐるーぷ,せそんくるーふ,ーふ,7
東海大学短期大学部,とーかいだいがくたんきだいがくぶ,とーかいたいかくたんきたいかくふ,くふ,16
秋田日本信販,あきたにっぽんしんぱん,あきたにっほんしんはん,はん,11
神町駐屯地,じんまちちゅーとんち,しんまちちゅーとんち,んち,10
高根木戸店,たかねきどてん,たかねきとてん,てん,7
新潟県立長岡向陵高等学校,にーがたけんりつながおかこーりょーこーとーがっこー,にーかたけんりつなかおかこーりょーこーとーかっこー,こー,25
一光社,いっこーしゃ,いっこーしゃ,しゃ,6
トラベランド,とらべらんど,とらへらんと,んと,6
大阪有線放送社,おーさかゆーせんほーそーしゃ,おーさかゆーせんほーそーしゃ,しゃ,14
オリンピック,おりんぴっく,おりんひっく,っく,6
岐阜経済大,ぎふけいざいだい,きふけいさいたい,たい,8
タックナカシゲ,たっくなかしげ,たっくなかしけ,しけ,7
東洋シヤッター,とーよーしゃったー,とーよーしゃったー,たー,9
関東学園大,かんとーがくえんだい,かんとーかくえんたい,たい,10
ＯＳＣＥ,おーえすしーいー,おーえすしーいー,いー,8
ネスコ,ねすこ,ねすこ,すこ,3
カントリー・ロード,かんとりーろーど,かんとりーろーと,ーと,8
半田市立半田病院,はんだしりつはんだびょーいん,はんたしりつはんたひょーいん,いん,14
掛川市立総合病院,かけかわしりつそーごーびょーいん,かけかわしりつそーこーひょーいん,いん,16
竜王ゴルフコース,りゅーおーごるふこーす,りゅーおーこるふこーす,ーす,11
サイキ,さいき,さいき,いき,3
スターツ,すたーつ,すたーつ,ーつ,4
東京文化短大,とーきょーぶんかたんだい,とーきょーふんかたんたい,たい,12
釧路丸水,くしろまるすい,くしろまるすい,すい,7
ソニー木更津,そにーきさらず,そにーきさらす,らす,7
電力中央研究所,でんりょくちゅーおーけんきゅーしょ,てんりょくちゅーおーけんきゅーしょ,しょ,17
原水禁,げんすいきん,けんすいきん,きん,6
大日本土木,だいにほんどぼく,たいにほんとほく,ほく,8
旭松食品,あさひまつしょくひん,あさひまつしょくひん,ひん,10
日本コンサルタントグループ,にほんこんさるたんとぐるーぷ,にほんこんさるたんとくるーふ,ーふ,14
ヤンセン協和,やんせんきょーわ,やんせんきょーわ,ーわ,8
チケット・セゾン,ちけっとせぞん,ちけっとせそん,そん,7
アデランス,あでらんす,あてらんす,んす,5
ミニオンシステム,みにおんしすてむ,みにおんしすてむ,てむ,8
オザム,おざむ,おさむ,さむ,3
アートランドホテル蓼科,あーとらんどほてるたてしな,あーとらんとほてるたてしな,しな,13
エヌ・エイチ・ヴィ・ホテルズインターナショナル,えぬえいちぶいほてるずいんたーなしょなる,えぬえいちふいほてるすいんたーなしょなる,なる,20
東急車輌製造,とーきゅーしゃりょーせいぞー,とーきゅーしゃりょーせいそー,そー,14
札幌国際ＣＣ,さっぽろこくさいかんとりーくらぶ,さっほろこくさいかんとりーくらふ,らふ,16
ロシアの選択,ろしあのせんたく,ろしあのせんたく,たく,8
セルテクノ,せるてくの,せるてくの,くの,5
静岡英和女学院短大,しずおかえいわじょがくいんたんだい,しすおかえいわしょかくいんたんたい,たい,17
ホリエ電機,ほりえでんき,ほりえてんき,んき,6
越智産業,おちさんぎょー,おちさんきょー,ょー,7
太平信用金庫,たいへいしんよーきんこ,たいへいしんよーきんこ,んこ,11
東洋紡,とーよーぼー,とーよーほー,ほー,6
柏原,かしわばら,かしわはら,はら,5
下田大和館,しもだやまとかん,しもたやまとかん,かん,8
ヨーカドー,よーかどー,よーかとー,とー,5
ムラモト,むらもと,むらもと,もと,4
小田原女子短期大学,おだわらじょしたんきだいがく,おたわらしょしたんきたいかく,かく,14
秋田短大,あきたたんだい,あきたたんたい,たい,7
住友林業ホームテック,すみともりんぎょーほーむてっく,すみともりんきょーほーむてっく,っく,15
日本スピンドル製造,にほんすぴんどるせいぞー,にほんすひんとるせいそー,そー,12
九州病院,きゅーしゅーびょーいん,きゅーしゅーひょーいん,いん,11
ワイ・デー・ケー,わいでーけー,わいてーけー,けー,6
福岡県済生会八幡総合病院,ふくおかけんさいせいかいやはたそーごーびょーいん,ふくおかけんさいせいかいやはたそーこーひょーいん,いん,24
ゼビオ,ぜびお,ぜひお,ひお,3
ダイエー福岡プロセスセンター,だいえーふくおかぷろせすせんたー,たいえーふくおかふろせすせんたー,たー,16
富山北部高等学校,とやまほくぶこーとーがっこー,とやまほくふこーとーかっこー,こー,14
巧藝社,こーげいしゃ,こーけいしゃ,しゃ,6
九州産業大学,きゅーしゅーさんぎょーだいがく,きゅーしゅーさんきょーたいかく,かく,15
日之出商事,ひのでしょーじ,ひのてしょーし,ーし,7
横浜ゴム,よこはまごむ,よこはまこむ,こむ,6
大垣共立銀行,おーがききょーりつぎんこー,おーかききょーりつきんこー,こー,13
カンロ,かんろ,かんろ,んろ,3
文京女子短大,ぶんきょーじょしたんだい,ふんきょーしょしたんたい,たい,12
山形銀行,やまがたぎんこー,やまかたきんこー,こー,8
明海大,めいかいだい,めいかいたい,たい,6
ホテル京急,ほてるけいきゅー,ほてるけいきゅー,ゅー,8
藤久,ふじきゅー,ふしきゅー,ゅー,5
Ｔ＆Ｋ　ＴＯＫＡ,てぃーあんどけいとーか,てぃーあんとけいとーか,ーか,11
セントラルパック,せんとらるぱっく,せんとらるはっく,っく,8
さとう,さとー,さとー,とー,3
日本海テレビジョン放送,にほんかいてれびじょんほーそー,にほんかいてれひしょんほーそー,そー,15
新日フィル,しんにちふぃる,しんにちふぃる,ぃる,7
長浜赤十字病院,ながはませきじゅーじびょーいん,なかはませきしゅーしひょーいん,いん,15
日本歯科工業社,にほんしかこーぎょーしゃ,にほんしかこーきょーしゃ,しゃ,12
伊勢久,いせきゅー,いせきゅー,ゅー,5
ロート製薬,ろーとせいやく,ろーとせいやく,やく,7
郁栄商会,いくえいしょーかい,いくえいしょーかい,かい,9
広島商,ひろしましょー,ひろしましょー,ょー,7
神戸大,こーべだい,こーへたい,たい,5
新晃工業,しんこーこーぎょー,しんこーこーきょー,ょー,9
光製鐵所,ひかりせいてつしょ,ひかりせいてつしょ,しょ,9
廣告社,こーこくしゃ,こーこくしゃ,しゃ,6
税務大学校,ぜいむだいがっこー,ぜいむたいかっこー,こー,9
全音楽譜出版社,ぜんおんがくふしゅっぱんしゃ,ぜんおんかくふしゅっはんしゃ,しゃ,14
吉原組,よしわらぐみ,よしわらくみ,くみ,6
ＰＪＭジャパン,ぴーじぇいえむじゃぱん,ひーしぇいえむしゃはん,はん,11
信越半導体,しんえつはんどーたい,しんえつはんとーたい,たい,10
阪和興業,はんわこーぎょー,はんわこーきょー,ょー,8
ライオン,らいおん,らいおん,おん,4
仙台放送局,せんだいほーそーきょく,せんたいほーそーきょく,ょく,11
千葉銀行,ちばぎんこー,ちはきんこー,こー,6
教育庁,きょーいくちょー,きょーいくちょー,ょー,8
関西経済同友会,かんさいけいざいどーゆーかい,かんさいけいさいとーゆーかい,かい,14
東京文化会館,とーきょーぶんかかいかん,とーきょーふんかかいかん,かん,12
田中藍,たなかあい,たなかあい,あい,5
